model_name,split,site_id,row_count,MAE,RMSE,normalized_MAE_by_site_mean,normalized_RMSE_by_site_mean,MBE,underestimation_rate,peak_MAE,peak_underestimation_rate
Zero_Load,test,California_Garage_02,2657,12.307649905946183,21.030814798599618,0.784695994767337,1.3408568057482506,-12.307649905946183,70.41776439593527,63.82960052722598,100.0
Site_Train_Mean,test,California_Garage_02,2657,13.34534821579375,17.384498209284384,0.8508562864344585,1.1083794404384846,3.3769591503233243,29.657508468197214,48.144991470956455,100.0
Ridge_Regression_All_Features,test,N_Wilson_Garage_01,1323,12.38648528264543,19.23301479701037,1.0452937632288712,1.6230714328277807,-0.040910604054105695,33.86243386243386,27.986445067522645,89.9581589958159
Linear_Regression_All_Features,test,N_Wilson_Garage_01,1323,12.396254734012096,19.23257824335163,1.0461182058653997,1.6230345921254843,-0.009181283985993742,33.71126228269085,27.96178749497207,89.9581589958159
Persistence_1h,test,N_Wilson_Garage_01,1323,13.091806323550715,22.65159453352869,1.1048157073727334,1.9115648993876513,0.04768406788004231,36.88586545729403,30.526415785165213,75.31380753138075
Average_24h_168h,test,N_Wilson_Garage_01,1323,16.46214592637878,24.976854770406934,1.3892381957872215,2.107793286055044,1.7900258673122205,35.44973544973545,32.246943178346555,83.26359832635984
Site_Train_Mean,test,N_Wilson_Garage_01,1323,17.572068371976837,25.90377391354219,1.4829043959704906,2.186015863099902,-7.496861253391202,44.14210128495843,50.79855352342323,100.0
Global_Train_Mean,test,N_Wilson_Garage_01,1323,17.5732347791191,25.90090660048369,1.4830028289063375,2.1857738909513156,-7.486947870505658,44.066515495086925,50.7886401405377,100.0
Persistence_24h,test,N_Wilson_Garage_01,1323,18.410277303352355,29.06080546512639,1.5536407306333322,2.4524373148584053,0.6769507117111332,41.723356009070294,37.896741457554945,84.51882845188284
Persistence_168h,test,N_Wilson_Garage_01,1323,19.210335815970915,29.433926471092768,1.6211575567849825,2.483924944445532,2.903101022913308,38.1708238851096,36.74405311115125,76.15062761506276
Zero_Load,test,N_Wilson_Garage_01,1323,19.3466260930704,31.44987306009967,1.632659074236461,2.654050395564736,-19.3466260930704,71.80650037792896,62.64831836310244,100.0
Persistence_1h,test,Parking_Lot_01,2223,0.31493798103293075,1.115110978852836,0.14098069030431662,0.49917483769020804,1.4982766864037201e-18,11.875843454790823,2.4506502931989687,69.23076923076923
Persistence_168h,test,Parking_Lot_01,2223,0.718461163404013,1.8525520190497058,0.3216161811964785,0.8292872825744507,0.004319039978819867,16.194331983805668,6.264469208995465,100.0
