model_name,split,MAE,RMSE,R2,MBE,underestimation_rate,overestimation_rate,peak_MAE,high_peak_MAE,peak_RMSE,high_peak_RMSE,peak_underestimation_rate,high_peak_underestimation_rate,peak_bias,high_peak_bias,peak_overestimation_rate,high_peak_overestimation_rate,top_10_percent_actual_peak_MAE,top_5_percent_actual_peak_MAE,actual_max_load_kw,predicted_load_at_actual_max_kw,actual_max_underprediction_kw,row_count,peak_row_count,high_peak_row_count,site_id
E-AHPA,test,4.933950483090627,8.630243036372157,0.9281037290924968,1.0928667993386938,21.287128712871286,77.72277227722772,12.508496767343765,15.3678786753071,15.819761817843322,18.913138211794877,76.74418604651163,86.66666666666667,-10.208922216683378,-14.635807477747205,23.25581395348837,13.333333333333334,13.016981990265844,13.881790287839829,128.44555031546562,86.15686936979813,42.288680945667494,606,43,15,Arroyo_Garage_01
E-AHPA,test,2.6199026309657802,7.92163889056417,0.10945456452617153,0.385087932713315,10.749185667752444,48.94877109860823,76.49245875002315,109.07665571702258,98.5485633773347,137.3575319408581,100.0,100.0,-76.49245875002315,-109.07665571702258,0.0,0.0,12.516869111652921,20.812511450438983,233.57571077080087,6.689726928337221,226.88598384246365,3377,7,3,California_Garage_01
E-AHPA,test,7.685795449285236,13.501903624982203,0.3731403302267122,0.37732594224926075,31.990967256304103,66.57884832517877,33.747939161518964,47.969474303175325,42.766257674138714,57.54205271521239,96.32352941176471,100.0,-33.464907087760054,-47.969474303175325,3.6764705882352944,0.0,24.281587196570207,33.89064381713806,206.32919292080408,31.773438833805635,174.55575408699843,2657,136,58,California_Garage_02
E-AHPA,test,12.363293849498662,18.72863780869553,0.42947233986094435,1.428342968930084,30.158730158730158,69.84126984126983,26.138602187148045,35.79518071114814,33.685960827775354,43.47643666191913,90.3765690376569,96.61016949152543,-23.946379609060106,-35.113265630808186,9.623430962343097,3.389830508474576,33.493045925449955,46.63745240023052,175.316543045655,12.706514863163896,162.6100281824911,1323,239,118,N_Wilson_Garage_01
E-AHPA,test,0.3372644482216982,0.8911119152149745,0.7598239748973047,0.20823502563066165,5.757984705353127,28.879892037786774,3.104163659502694,,3.752994361988073,,92.3076923076923,,-3.0016142511383404,,7.6923076923076925,,0.9274107889027122,1.2615645304302952,11.143347336431464,7.987677795421265,3.155669541010199,2223,13,0,Parking_Lot_01
E-AHPA,test,1.1684217972191893,2.027442446890824,0.790094956861102,0.2272056025048092,21.45767315527388,50.882752376641015,2.9078259576017635,3.7832488418825263,3.7157401114737314,4.685793559648591,76.52173913043478,93.18181818181817,-2.2433229511637642,-3.6538856827343626,23.47826086956522,6.8181818181818175,2.9481139482700756,3.5569149642395286,21.33654974232288,10.769843682608055,10.566706059714825,2209,230,88,S_Wilson_Garage_01
PRC-E-AHPA,test,4.939969742995567,8.632314342583438,0.9280692139432508,1.0988860592436334,21.287128712871286,77.72277227722772,12.593326337166868,15.611056775466656,15.835680430889864,18.951288640307546,76.74418604651163,86.66666666666667,-10.124092646860277,-14.39262937758765,23.25581395348837,13.333333333333334,13.076779883747703,13.99945711049768,128.44555031546562,86.15686936979813,42.288680945667494,606,43,15,Arroyo_Garage_01
PRC-E-AHPA,test,2.6209827824322867,7.924562760551299,0.10879704412053404,0.3861680841798217,10.749185667752444,48.94877109860823,76.49245875002315,109.07665571702258,98.5485633773347,137.3575319408581,100.0,100.0,-76.49245875002315,-109.07665571702258,0.0,0.0,12.516869111652921,20.812511450438983,233.57571077080087,6.689726928337221,226.88598384246365,3377,7,3,California_Garage_01
PRC-E-AHPA,test,7.700875068720603,13.518823719651929,0.3715682303054445,0.41439298423820325,31.915694392171623,66.65412118931125,33.64065470556622,47.84369252723073,42.68256327517486,57.440219806780206,96.32352941176471,100.0,-33.30398040383094,-47.84369252723073,3.6764705882352944,0.0,24.25416109504845,33.78093941105104,206.32919292080408,31.773438833805635,174.55575408699843,2657,136,58,California_Garage_02
PRC-E-AHPA,test,12.507284300672938,18.851407899818454,0.4219679704441346,2.186551331105571,28.57142857142857,71.42857142857143,25.088453491398273,34.000930787196026,32.75142061271789,42.04188490055674,85.77405857740585,93.22033898305084,-22.175961641371284,-32.98030517601886,14.225941422594143,6.779661016949152,31.72683776916661,44.51418092868813,175.316543045655,12.706514863163896,162.6100281824911,1323,239,118,N_Wilson_Garage_01
