model_name,split,rank_value,rank_metric,rank_position
Persistence_24h,validation,36.96384529154291,peak_MAE,10.0
Site_Train_Mean,validation,54.81262028813862,peak_MAE,11.0
Global_Train_Mean,validation,54.90381422656759,peak_MAE,12.0
Zero_Load,validation,66.51017800151733,peak_MAE,13.0
CatBoostRegressor,validation,41.786362801994265,high_peak_MAE,1.0
XGBRegressor,validation,42.62652653742966,high_peak_MAE,2.0
LGBMRegressor,validation,43.19626921226297,high_peak_MAE,3.0
GradientBoostingRegressor,validation,43.91807347109161,high_peak_MAE,4.0
Linear_Regression_All_Features,validation,45.13150374830797,high_peak_MAE,5.0
Ridge_Regression_All_Features,validation,45.1417108243237,high_peak_MAE,6.0
Persistence_1h,validation,47.93956265998431,high_peak_MAE,7.0
Average_24h_168h,validation,49.68114085278314,high_peak_MAE,8.0
Persistence_168h,validation,52.915491598212434,high_peak_MAE,9.0
Persistence_24h,validation,53.97886035964307,high_peak_MAE,10.0
Site_Train_Mean,validation,80.8973571863563,high_peak_MAE,11.0
Global_Train_Mean,validation,81.83236221604157,high_peak_MAE,12.0
Zero_Load,validation,93.69204043860633,high_peak_MAE,13.0
Global_Train_Mean,validation,14.605018962317438,underestimation_rate,1.0
Ridge_Regression_All_Features,validation,15.177923021060275,underestimation_rate,2.0
Linear_Regression_All_Features,validation,15.218268377309773,underestimation_rate,3.0
LGBMRegressor,validation,17.56636811103042,underestimation_rate,4.0
XGBRegressor,validation,17.994028887275075,underestimation_rate,5.0
CatBoostRegressor,validation,18.123134027273462,underestimation_rate,6.0
GradientBoostingRegressor,validation,18.179617526022753,underestimation_rate,7.0
Site_Train_Mean,validation,18.792866941015088,underestimation_rate,8.0
Persistence_1h,validation,19.6239812797547,underestimation_rate,9.0
Average_24h_168h,validation,23.682724118453965,underestimation_rate,10.0
Persistence_24h,validation,24.538045670943276,underestimation_rate,11.0
Persistence_168h,validation,25.070604373436616,underestimation_rate,12.0
Zero_Load,validation,37.892358589526346,underestimation_rate,13.0
