model_name,split,site_id,row_count,MAE,RMSE,normalized_MAE_by_site_train_mean,normalized_RMSE_by_site_train_mean,MBE,underestimation_rate,peak_MAE,peak_underestimation_rate,high_peak_MAE,high_peak_underestimation_rate
GradientBoostingRegressor,test,S_Wilson_Garage_01,2209,1.401691669726198,2.224414172400792,0.5300990387528768,0.841240509625251,0.08805119747756242,25.803531009506564,3.263108752903903,82.17391304347827,4.384372888446854,94.31818181818183
CatBoostRegressor,validation,Arroyo_Garage_01,606,5.622281351182512,9.23536954184585,0.23924230473840663,0.3929883540668719,0.947781365181241,27.722772277227726,10.190076102013196,57.89473684210527,10.728878588125973,78.18181818181819
XGBRegressor,validation,Arroyo_Garage_01,606,5.674125837517217,9.465872859321829,0.2414484188803261,0.4027968537626765,1.0639290078126662,26.897689768976896,10.065627933476959,57.89473684210527,10.351627573757035,78.18181818181819
LGBMRegressor,validation,Arroyo_Garage_01,606,5.855629089980915,9.661597077370061,0.24917184176235577,0.41112541473181635,0.7882606995982296,29.372937293729372,11.018387105867307,65.26315789473685,11.614535205850892,85.45454545454545
GradientBoostingRegressor,validation,Arroyo_Garage_01,606,6.1265251537924845,10.366964697772852,0.2606991550721408,0.4411405926733322,1.6082768869575723,25.082508250825082,10.043685564402095,58.94736842105262,10.428108443505987,81.81818181818183
LGBMRegressor,validation,California_Garage_01,3377,0.8037913767417495,2.570757550371866,0.04183678273033354,0.13380614447898928,0.22133541028048356,7.728753331359195,15.050994549622276,71.42857142857143,15.91722922757608,100.0
CatBoostRegressor,validation,California_Garage_01,3377,0.84596883824508,2.700432607732935,0.044032090299052064,0.14055564112369096,0.1606544073593565,9.446254071661238,15.121016262798696,92.85714285714286,15.455999120908631,100.0
XGBRegressor,validation,California_Garage_01,3377,0.8689333504277599,2.7030623203709716,0.04522737720370812,0.14069251583952422,0.23587346805395196,8.617115783239562,14.554878948824236,85.71428571428571,11.4803190239001,100.0
GradientBoostingRegressor,validation,California_Garage_01,3377,0.966308606669746,2.7899640319795074,0.05029569164024807,0.14521568955432326,0.30307717645724447,9.120521172638437,15.364302354438266,78.57142857142857,15.9834119159505,100.0
CatBoostRegressor,validation,California_Garage_02,2657,4.035415139827581,6.601626539821378,0.25728503180093804,0.420898379815374,-0.005787936410484532,27.022958223560405,23.618667174452767,92.5925925925926,29.028036488029215,100.0
LGBMRegressor,validation,California_Garage_02,2657,4.079276512754641,6.827941255061082,0.2600814912325824,0.43532747488735096,0.26072875351884284,25.630410237109523,21.915904359101287,92.5925925925926,27.046253698914985,100.0
XGBRegressor,validation,California_Garage_02,2657,4.115644855263316,6.8186851869047755,0.26240021925303875,0.4347373378859696,0.11378380478563001,26.533684606699286,23.790958055281894,92.5925925925926,24.416485928344134,100.0
GradientBoostingRegressor,validation,California_Garage_02,2657,4.129245322460156,6.66735576266689,0.26326734110147293,0.4250890627077371,0.08530003291070531,26.797139631162963,24.148548033778198,92.5925925925926,30.68527543742077,100.0
CatBoostRegressor,validation,N_Wilson_Garage_01,1322,20.92615657520544,68.50004531814989,1.7659554310422894,5.780709258362325,-3.24548579715522,37.065052950075646,39.27849264888359,82.0,56.45438740346177,90.5829596412556
LGBMRegressor,validation,N_Wilson_Garage_01,1322,21.151221432318298,68.6869742736591,1.7849486229037197,5.796484166813106,-3.599670868074445,37.74583963691377,40.45801672929153,82.25,58.40109774420336,90.5829596412556
XGBRegressor,validation,N_Wilson_Garage_01,1322,21.284969925853073,68.63986501561581,1.7962356395951324,5.792508623105644,-3.0954952381468104,35.779122541603634,39.94043136236872,81.5,57.89622727154415,91.4798206278027
