scenario_id,horizon_scenario,charger_power_kw,capacity_scenario,forecast_signal_scenario,comparison_strategy,peak_reduction_difference,capacity_violation_difference,unserved_energy_difference,energy_delivery_difference,uncertainty_aware_best_for_capacity_risk,uncertainty_aware_best_for_peak_reduction,uncertainty_aware_safer_but_more_conservative
16,original_calendar_aligned,7.2,capacity_p90,eahpa_point,valley_filling,-6.1467068436064025,41,-8.673617379884035e-17,1.4551915228366852e-11,False,False,False
17,original_calendar_aligned,7.2,capacity_p90,prc_peak_sensitive,peak_sensitive,0.0,0,1.734723475976807e-17,0.0,False,False,False
17,original_calendar_aligned,7.2,capacity_p90,prc_peak_sensitive,point_forecast,0.0,0,1.734723475976807e-17,0.0,False,False,False
17,original_calendar_aligned,7.2,capacity_p90,prc_peak_sensitive,uncontrolled,50.143532077690764,-218,-2.0643209364124004e-16,1.4551915228366852e-11,False,False,False
17,original_calendar_aligned,7.2,capacity_p90,prc_peak_sensitive,valley_filling,-6.1467068436064025,41,-8.673617379884035e-17,1.4551915228366852e-11,False,False,False
18,original_calendar_aligned,7.2,capacity_p90,upper_bound,peak_sensitive,0.0,0,1.734723475976807e-17,0.0,False,False,False
18,original_calendar_aligned,7.2,capacity_p90,upper_bound,point_forecast,0.0,0,1.734723475976807e-17,0.0,False,False,False
18,original_calendar_aligned,7.2,capacity_p90,upper_bound,uncontrolled,50.143532077690764,-218,-2.0643209364124004e-16,1.4551915228366852e-11,False,False,False
18,original_calendar_aligned,7.2,capacity_p90,upper_bound,valley_filling,-6.1467068436064025,41,-8.673617379884035e-17,1.4551915228366852e-11,False,False,False
19,original_calendar_aligned,7.2,capacity_p95,eahpa_point,peak_sensitive,0.0,0,5.204170427930421e-18,0.0,False,False,False
19,original_calendar_aligned,7.2,capacity_p95,eahpa_point,point_forecast,0.0,0,5.204170427930421e-18,0.0,False,False,False
19,original_calendar_aligned,7.2,capacity_p95,eahpa_point,uncontrolled,43.77490023175639,-164,-2.6194324487249787e-16,1.4551915228366852e-11,False,False,False
19,original_calendar_aligned,7.2,capacity_p95,eahpa_point,valley_filling,-12.515338689540776,5,-1.3877787807814457e-16,1.4551915228366852e-11,False,False,False
