site_id,hour,mean_load_kw,median_load_kw,sample_count
Parking_Lot_01,5,0.24760129363911848,0.0,617
Parking_Lot_01,6,0.09087418978532648,0.0,617
Parking_Lot_01,7,0.06333857088646441,0.0,617
Parking_Lot_01,8,0.031935829490589734,0.0,617
Parking_Lot_01,9,0.007230156605892009,0.0,617
Parking_Lot_01,10,0.004298821149336182,0.0,617
Parking_Lot_01,11,0.0035239618054072313,0.0,617
Parking_Lot_01,12,0.005149422028895791,0.0,617
Parking_Lot_01,13,0.11158448060394933,0.0,617
Parking_Lot_01,14,0.9222735413285333,0.0,617
Parking_Lot_01,15,2.575011643762192,0.0,617
Parking_Lot_01,16,3.9003607006983514,0.0,618
Parking_Lot_01,17,4.42011734716196,0.2351323851203501,618
Parking_Lot_01,18,4.810355478108178,2.389145192666892,618
Parking_Lot_01,19,5.063470165349693,2.2176441601490566,618
Parking_Lot_01,20,5.053650517652829,0.5918840133843908,618
Parking_Lot_01,21,4.925965039301108,0.0,618
Parking_Lot_01,22,4.241844635273242,0.0,618
Parking_Lot_01,23,1.4453721673182076,0.0,618
S_Wilson_Garage_01,0,2.3924660470624532,0.2412855579868709,613
S_Wilson_Garage_01,1,2.4247556118333558,0.2358910891089109,613
S_Wilson_Garage_01,2,2.4139542709489477,0.0,613
S_Wilson_Garage_01,3,2.1035426466998146,0.0,613
S_Wilson_Garage_01,4,1.751195756039728,0.0,613
S_Wilson_Garage_01,5,1.459476572832385,0.0,613
S_Wilson_Garage_01,6,1.0296707371746499,0.0,613
S_Wilson_Garage_01,7,0.8306640781525427,0.0,613
S_Wilson_Garage_01,8,0.678740744129872,0.0,613
S_Wilson_Garage_01,9,0.5266005609594987,0.0,613
S_Wilson_Garage_01,10,0.43925106749913606,0.0,613
S_Wilson_Garage_01,11,0.35012668399212465,0.0,613
S_Wilson_Garage_01,12,0.48309076146866364,0.0,613
S_Wilson_Garage_01,13,0.7070435350109032,0.0,613
S_Wilson_Garage_01,14,1.0868373548314143,0.0,614
S_Wilson_Garage_01,15,3.3724645802010644,0.0,614
S_Wilson_Garage_01,16,6.472913336857285,6.269641304347826,614
S_Wilson_Garage_01,17,7.342414377024573,6.459211706783369,614
S_Wilson_Garage_01,18,6.988424129296063,6.450539825903974,614
S_Wilson_Garage_01,19,5.793398712232754,6.274094511785481,614
S_Wilson_Garage_01,20,4.676054772595457,3.5553862923346458,614
S_Wilson_Garage_01,21,4.03047526075291,3.1682325758413135,614
S_Wilson_Garage_01,22,3.304466315480556,1.576019951278468,614
S_Wilson_Garage_01,23,2.6059570839445474,0.2434137249215681,614
