strategy,session_id,site_id,original_site_id,arrival_time,departure_time,energy_requested_kwh,energy_delivered_kwh,unserved_energy_kwh,fully_served,max_charging_power_kw,first_charge_hour,last_charge_hour,average_delay_hours,scenario_mode
uncontrolled,2_39_88_24_2018-05-26 16:10:33.580111,California_Garage_01,2,2020-08-15 14:10:34+00:00,2020-08-15 15:15:07+00:00,7.285,7.100499999999999,0.18450000000000077,False,6.6,2020-08-15 14:00:00+00:00,2020-08-15 15:00:00+00:00,0.05807427489456928,calendar_aligned_forecast_horizon
uncontrolled,2_39_89_25_2018-05-28 22:25:21.148684,California_Garage_01,2,2020-08-17 20:25:21+00:00,2020-08-17 21:10:44+00:00,5.1,4.992166666666666,0.10783333333333367,False,6.6,2020-08-17 20:00:00+00:00,2020-08-17 21:00:00+00:00,-0.1859961439588689,calendar_aligned_forecast_horizon
uncontrolled,2_39_79_382_2018-05-29 02:06:08.390340,California_Garage_01,2,2020-08-18 00:06:08+00:00,2020-08-18 02:33:15+00:00,16.318,16.18283333333333,0.1351666666666702,False,6.6,2020-08-18 00:00:00+00:00,2020-08-18 02:00:00+00:00,0.7576395654746172,calendar_aligned_forecast_horizon
uncontrolled,2_39_129_17_2018-06-01 13:11:17.988136,California_Garage_01,2,2020-08-21 11:11:18+00:00,2020-08-21 13:04:35+00:00,12.56,12.461166666666665,0.0988333333333351,False,6.6,2020-08-21 11:00:00+00:00,2020-08-21 13:00:00+00:00,0.4222301505566181,calendar_aligned_forecast_horizon
uncontrolled,2_39_124_22_2018-06-02 20:47:02.747437,California_Garage_01,2,2020-08-22 18:47:03+00:00,2020-08-22 20:03:53+00:00,8.768,8.451666666666666,0.31633333333333447,False,6.6,2020-08-22 18:00:00+00:00,2020-08-22 20:00:00+00:00,0.09782899493853942,calendar_aligned_forecast_horizon
uncontrolled,2_39_92_436_2018-06-03 23:13:37.579905,California_Garage_01,2,2020-08-23 21:13:38+00:00,2020-08-24 00:31:43+00:00,22.929,21.789166666666667,1.139833333333332,False,6.6,2020-08-23 21:00:00+00:00,2020-08-24 00:00:00+00:00,1.1618396204365915,calendar_aligned_forecast_horizon
uncontrolled,2_39_126_20_2018-06-06 03:17:31.985328,California_Garage_01,2,2020-08-26 01:17:32+00:00,2020-08-26 02:32:16+00:00,8.303,8.220666666666666,0.08233333333333448,False,6.6,2020-08-26 01:00:00+00:00,2020-08-26 02:00:00+00:00,0.13953513727822375,calendar_aligned_forecast_horizon
uncontrolled,2_39_79_380_2018-06-06 01:51:18.360172,California_Garage_01,2,2020-08-25 23:51:18+00:00,2020-08-26 03:14:51+00:00,22.756,22.3905,0.3655000000000008,False,6.6,2020-08-25 23:00:00+00:00,2020-08-26 03:00:00+00:00,1.205427413411938,calendar_aligned_forecast_horizon
uncontrolled,2_39_90_26_2018-06-29 23:43:04.880312,California_Garage_01,2,2020-09-18 21:43:05+00:00,2020-09-18 23:18:05+00:00,10.531,10.45,0.0810000000000013,False,6.6,2020-09-18 21:00:00+00:00,2020-09-18 23:00:00+00:00,0.29422514619883045,calendar_aligned_forecast_horizon
uncontrolled,2_39_130_31_2018-06-30 15:26:45.788963,California_Garage_01,2,2020-09-19 13:26:46+00:00,2020-09-19 14:47:37+00:00,8.985,8.8935,0.09149999999999991,False,6.6,2020-09-19 13:00:00+00:00,2020-09-19 14:00:00+00:00,0.14283962069676356,calendar_aligned_forecast_horizon
